name,year,buy_price,sell_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,2007,48201.66719,60000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,118976.7561,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,483080.7284,600000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,215170.4368,250000,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,391103.899,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,125973.1494,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,461778.6154,550000,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,215331.3824,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,749316.6653,850000,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,308381.8054,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,227845.695,260000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,201432.4712,250000,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1370114.896,1650000,25000,Petrol,Dealer,Automatic,First Owner
Maruti 800 AC,2007,49207.75705,60000,70000,Petrol,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2007,120822.8411,135000,50000,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 SX,2012,531692.2585,600000,100000,Diesel,Individual,Manual,First Owner
Datsun RediGO T Option,2017,221637.6154,250000,46000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2014,362970.9879,450000,141000,Diesel,Individual,Manual,Second Owner
Maruti Alto LX BSIII,2007,117286.0616,140000,125000,Petrol,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,2016,443692.4602,550000,25000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,206811.9712,240000,60000,Petrol,Individual,Manual,Second Owner
Hyundai Creta 1.6 VTVT S,2015,705574.5679,850000,25000,Petrol,Individual,Manual,First Owner
Maruti Celerio Green VXI,2017,320877.9768,365000,78000,CNG,Individual,Manual,First Owner
Chevrolet Sail 1.2 Base,2015,218892.1859,260000,35000,Petrol,Individual,Manual,First Owner
Tata Indigo Grand Petrol,2014,220636.3693,250000,100000,Petrol,Individual,Manual,First Owner
Toyota Corolla Altis 1.8 VL CVT,2018,1470001.916,1650000,25000,Petrol,Dealer,Automatic,First Owner
